"Freq [GHz]","dB(S(port1,port1)) [] - rot_carga='60deg'","dB(S(port1,port1)) [] - rot_carga='55deg'","dB(S(port1,port1)) [] - rot_carga='50deg'","dB(S(port1,port1)) [] - rot_carga='45deg'","dB(S(port1,port1)) [] - rot_carga='40deg'","dB(S(port1,port1)) [] - rot_carga='35deg'","dB(S(port1,port1)) [] - rot_carga='30deg'","dB(S(port1,port1)) [] - rot_carga='25deg'","dB(S(port1,port1)) [] - rot_carga='20deg'","dB(S(port1,port1)) [] - rot_carga='15deg'","dB(S(port1,port1)) [] - rot_carga='10deg'"
78,-4.27644717197786,-4.62729852851981,-5.10869275629925,-5.72098886658507,-6.59182542717873,-7.86251027469364,-9.77610040617639,-12.9227389984891,-19.1958731276044,-56.8158520749291,-29.3763328230759
78.5,-4.32076640248181,-4.67929196404307,-5.17157016287232,-5.79938661044185,-6.69455221304968,-8.00514816308443,-9.9871798199794,-13.2716098420785,-19.9378998499134,-44.0115470593932,-29.8072025536655
79,-4.36435528198429,-4.73059032326995,-5.23380906682817,-5.87738125464456,-6.79723452986933,-8.14872333934859,-10.2008648971075,-13.6277519651182,-20.7080361510779,-37.891361761099,-30.4611524374425
79.5,-4.40725439198279,-4.78123897740694,-5.29547262506685,-5.95505023825752,-6.89996866632441,-8.29331301882777,-10.4172999394819,-13.9912364189724,-21.503758219842,-34.5600018676709,-31.3252883006977
80,-4.44950205168232,-4.83128333309885,-5.35662756693933,-6.03247545253791,-7.00285955040774,-8.43899028476187,-10.6366148017296,-14.3620569978689,-22.3198336755616,-32.3395182003838,-32.3451991171257
80.5,-4.49113452394082,-4.88076867981897,-5.41734172733225,-6.10973943444618,-7.10601421403558,-8.58582399017004,-10.8589150279261,-14.7401080060159,-23.1469171730871,-30.7229398967981,-33.4512292874133
81,-4.53218623895536,-4.92973997436483,-5.4776817204731,-6.18692182655856,-7.20953566246589,-8.73387885462964,-11.0842744190227,-15.1251589313267,-23.9697179045535,-29.4892831800511,-34.5814293106866
81.5,-4.57269002472231,-4.97824159278673,-5.53771095890235,-6.2640964127569,-7.31351770183906,-8.88321571956913,-11.3127304193296,-15.5168254628665,-24.7649904865639,-28.5223411070667,-35.6909750367385
82,-4.6126773317971,-5.02631707421635,-5.59748815262933,-6.34132893288763,-7.4180410971835,-9.03389189831108,-11.5442822962806,-15.9145361364499,-25.5001790049045,-27.7534259462011,-36.751448390843
82.5,-4.65217844012819,-5.07400887575423,-5.65706635750014,-6.41867577794671,-7.52317125529142,-9.18596154086743,-11.778891741989,-16.3174938819734,-26.134404919489,-27.1385181460047,-37.7463123396521
83,-4.69122263736834,-5.12135815296539,-5.7164925829831,-6.49618357628359,-7.6289574639801,-9.33947592803922,-12.0164852696122,-16.7246319602015,-26.6239563776356,-26.6476817606334,-38.6662752488855
83.5,-4.72983836068268,-5.16840457660529,-5.77580792046455,-6.57388960505303,-7.73543358045364,-9.49448361357348,-12.2569576217035,-17.1345643226084,-26.932933480834,-26.2596297162977,-39.505720232141
84,-4.76805329729001,-5.21518619284461,-5.83504811523522,-6.65182290223772,-7.84261995274592,-9.65103034527653,-12.5001753497614,-17.545531435594,-27.0454168001336,-25.9587169371921,-40.2602168696395
84.5,-4.80589444243208,-5.26173933132709,-5.89424447919869,-6.73000591405213,-7.95052628250329,-9.80915871400936,-12.7459797535042,-17.9553442210175,-26.9718135042293,-25.7331797262573,-40.92481843576
85,-4.84338811684248,-5.30809856273708,-5.95342502672017,-6.80845649013414,-8.05915509480747,-9.96890750114412,-12.9941884687788,-18.3613310941294,-26.7446828977858,-25.5740558687038,-41.492856251653
85.5,-4.88055994881019,-5.35429670506178,-6.01261571208915,-6.88719003326932,-8.16850546913719,-10.1303107180858,-13.2445951456879,-18.7602961415638,-26.4071843234077,-25.4744930465883,-41.9550322042355
86,-4.91743482838429,-5.40036487535659,-6.07184165244421,-6.96622161930183,-8.27857670093711,-10.2933963537432,-13.4969668447359,-19.1485000587106,-26.0015894069755,-25.429285005637,-42.2987049836284
86.5,-4.95403684299337,-5.44633258156354,-6.13112823302191,-7.04556792366055,-8.38937160048715,-10.4581848655173,-13.7510389814743,-19.521678930441,-25.5625870825606,-25.4345434849151,-42.5073545352821
87,-4.99038920466954,-5.49222784685085,-6.19050201038928,-7.12524882059826,-8.50089918919979,-10.624687464971,-14.0065078547903,-19.8751180807166,-25.1154739003763,-25.4874520885343,-42.5603021110204
87.5,-5.026514179155,-5.53807735712787,-6.2499913519893,-7.20528855677885,-8.61317661744465,-10.7929042597846,-14.2630209890418,-20.20379720625,-24.6771722766248,-25.5860709335698,-42.43287827133
88,-5.06243302647777,-5.58390662095441,-6.30962677502091,-7.28571643935324,-8.72623019717195,-10.9628223182755,-14.5201656972395,-20.502616732752,-24.2582034757135,-25.7291751782196,-42.097411202025
88.5,-5.09816596121453,-5.6297401301172,-6.3694409726762,-7.36656701748117,-8.84009551218357,-11.13441372154,-14.7774564263236,-20.7667023052742,-23.8646074910426,-25.916119946165,-41.5257928266407
89,-5.13373213876225,-5.67560150877909,-6.42946853955169,-7.4478797730482,-8.95481663473459,-11.3076336614914,-15.0343215750088,-20.9917651461406,-23.4994590264458,-26.1467304507268,-40.695413298564
89.5,-5.16914967169002,-5.72151363938503,-6.4897454293608,-7.52969836913206,-9.07044453576033,-11.4824186314922,-15.2900905825745,-21.174474719244,-23.1639512985722,-26.4212200886226,-39.6031020285176
90,-5.20443567782437,-5.7674987544616,-6.55030819587819,-7.612069532018,-9.18703482460841,-11.6586847410734,-15.5439821801869,-21.3127841858628,-22.8581297814125,-26.7401412646419,-38.2982311667251
90.5,-5.2396063593179,-5.81357848507417,-6.61119308159164,-7.69504166309305,-9.3046449905936,-11.8363261689059,-15.7950947842755,-21.4061469026886,-22.5813728990296,-27.1043739124924,-36.9515318271815
91,-5.27467710972334,-5.85977385897342,-6.6724350273408,-7.77866329002406,-9.42333134158007,-12.015213750484,-16.0424001031074,-21.4555784138817,-22.3326997635841,-27.5151552923336,-35.9288048351235
91.5,-5.30966264418002,-5.90610524431472,-6.73406668006669,-7.86298147193846,-9.54314584350699,-12.1951936808305,-16.284741126677,-21.4635501044513,-22.1109630640328,-27.9741519119312,-35.6518123568351
92,-5.3445771463206,-5.95259223818973,-6.79611747472107,-7.94804027099484,-9.66413305950254,-12.3760862999131,-16.5208357684313,-21.4337373952297,-21.9149667932168,-28.4835704641264,-36.1588562194272
92.5,-5.37943442449069,-5.99925350297103,-6.85861286066989,-8.03387939328405,-9.78632736902573,-12.55768492131,-16.7492874991723,-21.3706739446473,-21.7435351577982,-29.04629913025,-37.0729700106626
93,-5.41424806938291,-6.04610655751435,-6.92157373306638,-8.12053308634618,-9.909750618185,-12.7397546646949,-16.9686043098879,-21.2793748561352,-21.5955499774096,-29.6660618764634,-38.0383635777829
93.5,-5.449031605227,-6.09316753444315,-6.98501611635316,-8.20802935995191,-10.0344103145516,-12.9220312613447,-17.177227189752,-21.1649855511679,-21.4699679633442,-30.3475522803344,-38.8883237644868
94,-5.48379862723624,-6.14045091887419,-7.04895113111229,-8.29638957264776,-10.1602984364554,-13.1042198199868,-17.3735689221513,-21.0324948424232,-21.3658254544615,-31.0964803654384,-39.5768176098235
94.5,-5.51856291905145,-6.18796928781568,-7.11338525785758,-8.38562840051483,-10.287390881207,-13.285993568147,-17.5560633043683,-20.8865293537703,-21.282235733456,-31.9193947716208,-40.1069425975167
95,-5.55333854539341,-6.23573307282606,-7.17832089305244,-8.47575417829427,-10.415647532174,-13.4669926211187,-17.7232238403665,-20.7312285154602,-21.218382443512,-32.8229876044994,-40.4970000453097
95.5,-5.58813991696321,-6.28375037107959,-7.24375717463909,-8.56676957807338,-10.5450128840875,-13.6468228751486,-17.8737095699553,-20.5701880166755,-21.1735115434471,-33.8122547021953,-40.7676303844342
96,-5.62298182672802,-6.33202683144441,-7.30969103764502,-8.65867256853385,-10.675417131759,-13.825055170643,-18.0063941186714,-20.406454758023,-21.1469234707613,-34.8861913365632,-40.9375534113303
96.5,-5.65787945899234,-6.38056564225433,-7.37611844586421,-8.75145757953482,-10.8067776012727,-14.0012249211258,-18.1204325393046,-20.2425562560597,-21.1379666007446,-36.0284469926412,-41.0224965393957
97,-5.69284837495971,-6.42936764590274,-7.44303573395067,-8.84511678345942,-10.9390003856737,-14.1748324489986,-18.2153194204501,-20.0805500121199,-21.1460326243769,-37.1890064759106,-41.0352306512946
97.5,-5.72790448069917,-6.47843160204811,-7.51044098611965,-8.93964139691514,-11.0719820394904,-14.3453443034221,-18.2909314300557,-19.9220818874188,-21.1705540815024,-38.2558867414358,-40.9859431899318
98,-5.76306398539988,-6.52775461605437,-7.57833537346946,-9.03502290437043,-11.2056111878144,-14.5121958515644,-18.3475482169534,-19.7684459785274,-21.2110039633517,-39.0375754202611,-40.8826718355905
98.5,-5.79834335937634,-6.57733274240878,-7.64672437198106,-9.13125410916935,-11.3397699153652,-14.6747954245552,-18.3858474736276,-19.6206413610444,-21.2668970364051,-39.3210080099853,-40.7317075622343
99,-5.83375930233866,-6.62716176453525,-7.71561878760315,-9.228329926868,-11.4743348179178,-14.8325302569535,-18.4068727536131,-19.4794232251319,-21.3377923394694,-39.0283290272167,-40.5379455349585
99.5,-5.86932873284624,-6.67723814307887,-7.7850355233811,-9.32624785051022,-11.6091776214371,-14.9847743785071,-18.411975866382,-19.3453474169157,-21.4232961701678,-38.2943341150487,-40.3051882913644
100,-5.90506880953298,-6.72756011492017,-7.85499803604276,-9.42500803660877,-11.7441653018918,-15.1308984979534,-18.4027387331022,-19.2188083526475,-21.5230648067784,-37.3424965370899,-40.0364153984608
100.5,-5.94099699358105,-6.7781289154876,-7.92553644532654,-9.52461298330609,-11.879159669639,-15.2702817638874,-18.3808819043656,-19.1000708266834,-21.6368062049896,-36.3462236311391,-39.7340380445872
