"Freq [GHz]","dB(S(port1,port1)) [] - tamano_extra='-1mm'","dB(S(port1,port1)) [] - tamano_extra='-0.96mm'","dB(S(port1,port1)) [] - tamano_extra='-0.92mm'","dB(S(port1,port1)) [] - tamano_extra='-0.88mm'","dB(S(port1,port1)) [] - tamano_extra='-0.84mm'","dB(S(port1,port1)) [] - tamano_extra='-0.8mm'","dB(S(port1,port1)) [] - tamano_extra='-0.76mm'","dB(S(port1,port1)) [] - tamano_extra='-0.72mm'","dB(S(port1,port1)) [] - tamano_extra='-0.68mm'","dB(S(port1,port1)) [] - tamano_extra='-0.64mm'","dB(S(port1,port1)) [] - tamano_extra='-0.6mm'","dB(S(port1,port1)) [] - tamano_extra='-0.56mm'","dB(S(port1,port1)) [] - tamano_extra='-0.52mm'","dB(S(port1,port1)) [] - tamano_extra='-0.48mm'","dB(S(port1,port1)) [] - tamano_extra='-0.44mm'","dB(S(port1,port1)) [] - tamano_extra='-0.4mm'","dB(S(port1,port1)) [] - tamano_extra='-0.36mm'","dB(S(port1,port1)) [] - tamano_extra='-0.32mm'","dB(S(port1,port1)) [] - tamano_extra='-0.28mm'","dB(S(port1,port1)) [] - tamano_extra='-0.24mm'","dB(S(port1,port1)) [] - tamano_extra='-0.2mm'","dB(S(port1,port1)) [] - tamano_extra='-0.16mm'","dB(S(port1,port1)) [] - tamano_extra='-0.12mm'","dB(S(port1,port1)) [] - tamano_extra='-0.08mm'","dB(S(port1,port1)) [] - tamano_extra='-0.04mm'","dB(S(port1,port1)) [] - tamano_extra='-0.01mm'","dB(S(port1,port1)) [] - tamano_extra='0mm'"
87,-13.1871186465781,-13.4538802650955,-13.7661480912784,-14.1790936655218,-14.5084488600539,-15.039185788843,-15.5348142901476,-16.0933986736352,-16.6994944681971,-17.3688456282847,-18.1458908448093,-18.6558036960843,-19.2097932617658,-19.830541212337,-20.7431633459065,-21.7966124660636,-22.9352576989186,-23.7235528023433,-25.2917385040985,-27.0785102973298,-29.5960354038042,-32.1563264137512,-32.9950966416985,-31.5732859262431,-28.9510169345954,-26.4447452043336,-25.4552342236653
88,-13.6168056651104,-13.9567430897239,-14.2903018317543,-14.7401553142776,-15.1165561282316,-15.7229336010197,-16.2561403363258,-16.8266188336807,-17.4178248252578,-17.9881849127026,-18.6671534352759,-18.9509611394344,-19.3798630533786,-19.8579051641736,-20.6852757799138,-21.6639113640025,-22.7400293831635,-23.2161946978979,-24.5953983662863,-26.1151017288139,-28.2323691667164,-30.3358380543089,-31.3923923972128,-30.9080932427043,-28.9231327919244,-26.61387816563,-25.6768942909478
89,-13.9507789025504,-14.3927293046056,-14.7663683010226,-15.2935582761439,-15.7493966141155,-16.4546622458764,-17.0054541531061,-17.5757648387559,-18.0840582908873,-18.5107627389129,-19.0435214198105,-19.1501416049783,-19.4782532387998,-19.828689330131,-20.5643830339325,-21.4414535531477,-22.4107466132258,-22.7736870109525,-24.0014631729405,-25.3211469740402,-27.165281962667,-29.0004944977874,-30.2004922172641,-30.4084466186503,-29.0549491455825,-26.9569824480958,-26.0733638387249
90,-14.2055237994496,-14.7816498091115,-15.226749380237,-15.8651088021706,-16.4230495044685,-17.2157187282518,-17.7326787849569,-18.259258273481,-18.6150593828498,-18.8659434092217,-19.2228545283176,-19.2485515502083,-19.5112357586541,-19.7583040475256,-20.4058912996854,-21.1660626733424,-21.9922198677475,-22.4217613977873,-23.5305843543344,-24.6975106226416,-26.345194583432,-28.0105765249481,-29.2938618560928,-30.0293191130177,-29.3139508239728,-27.4635885215203,-26.6389316454468
91,-14.4437303690075,-15.1822200610431,-15.7546587670523,-16.500153039175,-17.1414089107424,-17.9390205455587,-18.3351540278988,-18.7352650550361,-18.9155270057459,-18.9998548787001,-19.2079990602723,-19.2489754284381,-19.4884667003273,-19.6644519837853,-20.2393667113115,-20.8850765796726,-21.5536044966641,-22.1706499276927,-23.1866662570781,-24.2334919825525,-25.7300350050963,-27.2669644890974,-28.6005236074853,-29.7377738297203,-29.6699133966595,-28.1298544726738,-27.3756986241588
92,-14.7938907985746,-15.709000638582,-16.4793483408869,-17.2393173324978,-17.8435815452616,-18.4801155164655,-18.6553645835442,-18.8649100188458,-18.9187215008612,-18.9041147853236,-19.0492384120062,-19.1628784848403,-19.4231053469875,-19.5667292014182,-20.0963055875907,-20.6510483940337,-21.1794059319067,-22.0231634279287,-22.9676201996891,-23.9173968998823,-25.2889704356408,-26.699581869192,-28.0762467833423,-29.5101147053873,-30.0913203622723,-28.9568351628607,-28.2953341180057
93,-15.4376834981177,-16.5078393537632,-17.409936009089,-18.0020355815424,-18.3285964528486,-18.6509440770844,-18.5604974244701,-18.6289550983021,-18.6398000378634,-18.6265315637194,-18.8079075513071,-19.0108102877381,-19.3317840689585,-19.4856589525647,-20.006561982483,-20.5134838210797,-20.9525502429732,-21.979028661852,-22.8699076041547,-23.7393704026984,-25.0007603491437,-26.2666377159074,-27.6927843500225,-29.3301356634264,-30.5424536579678,-29.9471530702526,-29.4205485993785
94,-16.5063770519439,-17.5599353042763,-18.1141942657428,-18.4162144506078,-18.3252847531161,-18.3646406601051,-18.0780023790772,-18.1433954595494,-18.1807228405971,-18.2491924484178,-18.5315726581484,-18.8211837059291,-19.2339915395348,-19.4408120751224,-19.9935417239303,-20.5083482615363,-20.9316748699864,-22.0367584683501,-22.8900108004313,-23.6916150425625,-24.8514307384366,-25.9554294617379,-27.4318293864578,-29.1879268119258,-30.9820190951395,-31.0973737070023,-30.7854665982166
95,-17.8506505693322,-18.3608920197524,-18.1102743673151,-18.1370626317025,-17.8108799029186,-17.7355037350212,-17.3969256693423,-17.5546605212402,-17.6692843644582,-17.8522399839717,-18.2516000595898,-18.6268409924147,-19.1504476390872,-19.4480264017647,-20.0693584635847,-20.6487919614741,-21.1324559537094,-22.1940986695898,-23.0246203017799,-23.7680533281115,-24.8322613661306,-25.7815092145218,-27.2816184837969,-29.0788925783509,-31.3652137489262,-32.3807373003969,-32.4323315890528
96,-18.7010948281056,-18.2953808749895,-17.5649282942244,-17.3964594850275,-17.052684094886,-16.9712053781829,-16.7138271612384,-16.9653116833856,-17.1971550451628,-17.4911985338255,-17.9904056456049,-18.4597802733652,-19.1003402136087,-19.5163669395477,-20.2320037850962,-20.9220183584204,-21.525416152956,-22.4477885497867,-23.2705087927218,-23.9642383566624,-24.9383437968638,-25.7831384198923,-27.2349638366355,-29.0028318604045,-31.650936689241,-33.7116024365982,-34.3929070953985
97,-18.2408920429487,-17.509293123655,-16.8267183944818,-16.5700064995507,-16.2858300331359,-16.228041444115,-16.1318831288574,-16.4325738327789,-16.8050587527615,-17.1952698556165,-17.767864780296,-18.3456129645675,-19.0979152429352,-19.6460106425261,-20.4661142384641,-21.2943570777114,-22.0510757792616,-22.793068552909,-23.6244991689391,-24.2776809062648,-25.1678076080418,-26.0055298636712,-27.2882098692513,-28.9630618258723,-31.8128790585759,-34.8924478345999,-36.6061675330608
98,-17.1258235443221,-16.5080875597503,-16.0604866082222,-15.8065663534841,-15.6000142596184,-15.5806241676869,-15.6721662951821,-15.9889834058722,-16.5013722230048,-16.9769949595705,-17.6036882740679,-18.2998235813846,-19.1495815344257,-19.8281438540297,-20.7471119155324,-21.7214439260912,-22.6401342757263,-23.2230309818127,-24.0834441794979,-24.7083502173968,-25.5217006603802,-26.472673222234,-27.4408674832081,-28.9656287618914,-31.8486177422944,-35.6103242119817,-38.6352171245232
99,-16.1246088389355,-15.5785984819574,-15.325134648299,-15.1331258929932,-15.0113340533434,-15.0532082176379,-15.3200353798269,-15.6552143686173,-16.2848524572356,-16.8425228887384,-17.5160488860421,-18.327043015791,-19.2528183951287,-20.0470745666978,-21.0468296781721,-22.1582932409513,-23.2276246793237,-23.7275525538067,-24.6436743221918,-25.258816189261,-26.0043683004713,-27.1589680418685,-27.6957413572527,-29.0186486315699,-31.7800132531959,-35.6271920205341,-39.3634751487673
100,-15.3169922106011,-14.8063793223467,-14.6551481776492,-14.5567824344685,-14.5220305859529,-14.6498612525045,-15.0585375458775,-15.4432801253912,-16.1577019576565,-16.7973076659763,-17.5179104494044,-18.4229006745439,-19.3974217995858,-20.2836882627241,-21.3385144553294,-22.5661241424603,-23.7595256074782,-24.2912749654021,-25.2989484508922,-25.9332771887361,-26.6240337948896,-27.9837524320878,-28.0593681360038,-29.131775221384,-31.6442724547398,-35.0304172578871,-38.2885604491811
101,-14.6187699326676,-14.1814844790876,-14.083537538201,-14.090049240626,-14.1400699546675,-14.3702336992592,-14.8835527130851,-15.3564794575985,-16.1281825268133,-16.8466553600214,-17.6131520766623,-18.5769642652937,-19.5684584202805,-20.5189220098582,-21.6000765954463,-22.9156963380226,-24.1954878153557,-24.8901403498614,-26.0356224311129,-26.7344693837928,-27.3931496237731,-28.8365339037273,-28.5426087515125,-29.3157348088342,-31.481802995457,-34.1276295428405,-36.466867359954
102,-13.9910574473376,-13.6673087761814,-13.6385773030617,-13.747055713867,-13.8791824780285,-14.2157515204907,-14.8069312476472,-15.3913845114358,-16.2063218689882,-16.9928123617776,-17.7946444205805,-18.7754378833601,-19.7496209340802,-20.7362799922896,-21.815529205199,-23.1881837816756,-24.5104459782855,-25.4868095149396,-26.823905429891,-27.6570628032396,-28.3278750673474,-29.6146715248637,-29.1613357747851,-29.5818266789481,-31.3272437563501,-33.1764179742565,-34.71511964312
103,-13.4420666271558,-13.2461834977804,-13.3344713057468,-13.5359992885342,-13.7534968001623,-14.1914675305562,-14.8518711262341,-15.5429332186741,-16.3970004112656,-17.2311667762603,-18.0453851127097,-19.0030853366015,-19.9258764743276,-20.9230995099034,-21.975110319832,-23.3745315700601,-24.6952515748884,-26.0275495982122,-27.6060155520171,-28.6756476379978,-29.4454103992686,-30.2508869633994,-29.9373579354155,-29.9412944819753,-31.2056676016791,-32.3071766109635,-33.2419564246804
104,-12.9989289604719,-12.9298142247937,-13.1688118407718,-13.4587584465444,-13.7743337736543,-14.306171164343,-15.0427467177983,-15.8093531976375,-16.694627694284,-17.548033930198,-18.3420819321223,-19.2444622233328,-20.0849772296882,-21.0707982235593,-22.0746583266174,-23.4738792177257,-24.7552344128039,-26.4465205855657,-28.2883631923187,-29.7259018315864,-30.7559703995159,-30.7211545518483,-30.9000714396716,-30.4045343496102,-31.1325985663122,-31.5669880444216,-32.0489791655303
105,-12.6855682632633,-12.7421790132403,-13.1327782287504,-13.5200339827061,-13.9524940396772,-14.5712990097852,-15.393185143833,-16.191936360582,-17.0821904210807,-17.9213125213138,-18.6594720817979,-19.4847252484394,-20.2179836231816,-21.1745309515781,-22.1146925330911,-23.4914969476053,-24.7063740199808,-26.6834053137018,-28.7549694427953,-30.6838891517685,-32.2407650750404,-31.0359573718459,-32.0899329323488,-30.9802106175511,-31.1159042786533,-30.964763229102,-31.0987206621675
106,-12.5151206529662,-12.7038379052588,-13.2297131633055,-13.7394973531239,-14.3037815769104,-14.9980268597648,-15.8986194276506,-16.6871777786651,-17.5345529938323,-18.3235551890953,-18.9738504134947,-19.71022907258,-20.3191969888914,-21.2326539014182,-22.0995109519105,-23.4367030795525,-24.5702458636042,-26.7096984102064,-28.9154993421935,-31.3693212080075,-33.7965681251543,-31.2243237949023,-33.5660511926427,-31.6744617543513,-31.1583935766106,-30.495060154283,-30.3541712229719
107,-12.5008411927801,-12.8359898367777,-13.4902500069751,-14.1540956856571,-14.849848139831,-15.5917083537702,-16.5374842517239,-17.2751409589365,-18.0234939385263,-18.725870097875,-19.2652077923956,-19.9090392641668,-20.3858862092236,-21.2462776040839,-22.0365020082421,-23.3212086336351,-24.3695321101253,-26.5436757636887,-28.7599096087566,-31.6166258175503,-35.1335112769429,-31.3197305727579,-35.4231018943122,-32.4904324675737,-31.2606891778839,-30.1485561226225,-29.7851126421035
108,-12.6787194211519,-13.1762170586191,-13.9700648266421,-14.7996607039815,-15.6061309314126,-16.3436426705656,-17.2785392099401,-17.913456471419,-18.5218003134609,-19.1011724624103,-19.5181880787806,-20.0714645368974,-20.4180768485397,-21.2190698709052,-21.9357625735243,-23.1581947234097,-24.1253378829457,-26.2392413070955,-28.3611490467403,-31.3902562462124,-35.7589508408621,-31.3519091503009,-37.8313004219303,-33.4282650814867,-31.4242159771046,-29.9165655431331,-29.3681598369646
109,-13.1211584246386,-13.7810479978724,-14.721666250476,-15.6781716803527,-16.5592281309924,-17.2217114528128,-18.0870881905896,-18.5435916538384,-19.0052069605703,-19.426162883747,-19.7224010464754,-20.1907239002884,-20.4185488474941,-21.1573655591322,-21.8099949489255,-22.9622085576948,-23.8566030100646,-25.8598042085237,-27.8241788115805,-30.808168464809,-35.3828798897181,-31.3439384910898,-41.1425112815204,-34.4852474927012,-31.6540509591296,-29.793252645146,-29.0867805585809
110,-13.9140402174475,-14.6974038282449,-15.753398297131,-16.7392698814271,-17.6517958370426,-18.1631972588136,-18.9237704810548,-19.105933452206,-19.4523926847702,-19.6822391759003,-19.872598507349,-20.2638712538871,-20.393084445009,-21.0705304566748,-21.6744947063636,-22.7496974852325,-23.5812003921184,-25.4585683608589,-27.2386550339586,-30.0420355870011,-34.3024485722739,-31.3123576322471,-46.1967130450724,-35.6546210158789,-31.961176120746,-29.7769676614753,-28.9321415845777
111,-15.0937015483353,-15.9191305112939,-17.0122543235297,-17.8961526275271,-18.7916871231681,-19.0754807506279,-19.7336271464295,-19.5543331152854,-19.8438474096907,-19.8560431347714,-19.9690529277847,-20.2930599953641,-20.3509048951288,-20.9713780524676,-21.5468337866844,-22.5396589644671,-23.3178476926054,-25.07282404705,-26.6645315918517,-29.2281816688487,-32.9960680651191,-31.2684299165176,-52.7616478638613,-36.9185776191247,-32.3635471924655,-29.8710652113451,-28.9040608719213
112,-16.6008502110769,-17.3741313617137,-18.4078369468965,-19.0593694019972,-19.8789418802593,-19.853296622511,-20.4307618381894,-19.8642926219458,-20.1604245268784,-19.9407113560198,-20.0182864851113,-20.2870949369413,-20.3051054160153,-20.8762367101078,-21.4456579839349,-22.3534757695888,-23.0874097502304,-24.7270232982148,-26.1382581886341,-28.4499909784597,-31.7386648524746,-31.2195570961332,-47.2352742938366,-38.2246480529577,-32.8853093472155,-30.0840720830534,-29.010814361132
113,-18.3081680001384,-18.9571366562289,-19.8505761150489,-20.1606080996682,-20.8304030067551,-20.4169085735519,-20.9018520633276,-20.035281976434,-20.382236408092,-19.9395913483119,-20.0340772041164,-20.2629249011871,-20.2727352155818,-20.8040789803001,-21.3880732946739,-22.2128107448539,-22.9116770759226,-24.4378699061794,-25.6826502352905,-27.7540150382328,-30.6289089322535,-31.1704619015012,-42.0393155174766,-39.42858656011,-33.5531588906225,-30.4288440045586,-29.2664560405932
114,-20.0855193511486,-20.5716510536125,-21.2738792240035,-21.1586268016624,-21.5911731693635,-20.752553103175,-21.0637848426523,-20.0904473380442,-20.488463291017,-19.8757189863451,-20.038345059126,-20.2462441703256,-20.274028047049,-20.774169184978,-21.3857079237947,-22.1351133472118,-22.8084437072393,-24.2178410909194,-25.313225961031,-27.1660322881483,-29.6891356853239,-31.1240654171167,-38.7482183759802,-40.2219627725649,-34.3877179883504,-30.9202341789768,-29.6849165004925
115,-21.8384205860087,-22.1498634486717,-22.6370087444539,-22.03475520352,-22.1350033863115,-20.9177003060619,-20.9478475831048,-20.0758175256315,-20.4585995107073,-19.8126411473315,-20.0610528984599,-20.2698584848613,-20.3303242292283,-20.8022530734598,-21.4407219310034,-22.1282088217866,-22.784782307265,-24.0762266340032,-25.0401405806405,-26.6987925820468,-28.9159896414556,-31.0821000207821,-36.4231299929162,-40.2242743676453,-35.385116731757,-31.5707212320466,-30.2718909868217
116,-23.5111592266405,-23.6522018325869,-23.9190971242348,-22.7857674979558,-22.4592544058,-21.0031032892857,-20.6943580571984,-20.0578454356625,-20.2754785291915,-19.890345160721,-20.1378241943147,-20.3685368935715,-20.4606461741305,-20.8964001300013,-21.5439743186277,-22.1872947771247,-22.833618366186,-24.0182073005649,-24.8672386375633,-26.3539148056163,-28.2976380978057,-31.0455240231538,-34.6741356336447,-39.3760322086946,-36.4802507143605,-32.3833389571931,-31.017786303421
